timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado
1768226100,2026-01-12 13:55:00,2026-01-12 10:55:00,Isluga,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,2026-01-12 14:22:56,NO
1768203000,2026-01-12 07:30:00,2026-01-12 04:30:00,Isluga,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,2026-01-12 11:47:10,NO
1768199041,2026-01-12 06:24:01,2026-01-12 03:24:01,Isluga,VIIRS375,0.0,0.0,EVIDENCIA_DIARIA,NULO,imagenes_satelitales/Isluga/2026-01-12/06-24-01_Isluga_VIIRS375_Latest.png,,2026-01-12 14:22:56,NO
1768199041,2026-01-12 06:24:01,2026-01-12 03:24:01,Isluga,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,2026-01-12 14:22:56,NO
1768181100,2026-01-12 01:25:00,2026-01-11 22:25:00,Isluga,MODIS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-12 00:55:00,2026-01-12 06:47:23,NO
1768163700,2026-01-11 20:35:00,2026-01-11 17:35:00,Isluga,MODIS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-11 22:57:40,2026-01-12 00:14:15,NO
1768157280,2026-01-11 18:48:00,2026-01-11 15:48:00,Isluga,VIIRS375,0.0,0.0,EVIDENCIA_DIARIA,NULO,imagenes_satelitales/Isluga/2026-01-11/18-48-00_Isluga_VIIRS375_Latest.png,2026-01-11 22:57:40,2026-01-12 06:47:23,NO
1768157280,2026-01-11 18:48:00,2026-01-11 15:48:00,Isluga,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-11 22:57:40,2026-01-12 06:03:55,NO
1768152601,2026-01-11 17:30:01,2026-01-11 14:30:01,Isluga,VIIRS375,0.0,0.0,EVIDENCIA_DIARIA,NULO,imagenes_satelitales/Isluga/2026-01-11/17-30-01_Isluga_VIIRS375_Latest.png,,,NO
1768152601,2026-01-11 17:30:01,2026-01-11 14:30:01,Isluga,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768137300,2026-01-11 13:15:00,2026-01-11 10:15:00,Isluga,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768113721,2026-01-11 06:42:01,2026-01-11 03:42:01,Isluga,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768113721,2026-01-11 06:42:01,2026-01-11 03:42:01,Isluga,VIIRS375,0.0,0.0,RUTINA,NULO,imagenes_satelitales/Isluga/2026-01-11/06-42-01_Isluga_VIIRS375_Latest.png,,,NO
1768107601,2026-01-11 05:00:01,2026-01-11 02:00:01,Isluga,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768098300,2026-01-11 02:25:00,2026-01-10 23:25:00,Isluga,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768075200,2026-01-10 20:00:00,2026-01-10 17:00:00,Isluga,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768072320,2026-01-10 19:12:00,2026-01-10 16:12:00,Isluga,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768072320,2026-01-10 19:12:00,2026-01-10 16:12:00,Isluga,VIIRS375,0.0,0.0,RUTINA,NULO,imagenes_satelitales/Isluga/2026-01-10/19-12-00_Isluga_VIIRS375_Latest.png,,,NO
