timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1769147640,2026-01-23 05:54:00,2026-01-23 02:54:00,Lascar,VIIRS375,0.09,1.13,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lascar/2026-01-23/05-54-00_Lascar_VIIRS375_Latest.png,2026-01-23 06:50:41,2026-01-23 07:30:44,NO,latest.php,valido,False,Capturado por latest.php
1768454641,2026-01-15 05:24:01,2026-01-15 02:24:01,Lascar,VIIRS375,0.85,1.19,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lascar/2026-01-15/05-24-01_Lascar_VIIRS375_Latest.png,2026-01-15 06:07:26,2026-01-16 06:30:35,NO,latest.php,valido,False,Capturado por latest.php
1768454641,2026-01-15 05:24:01,2026-01-15 02:24:01,Lascar,VIIRS,1.31,1.68,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-15/05-24-01_Lascar_VIIRS750_Latest.png,2026-01-15 05:35:40,2026-01-15 17:28:19,NO,latest.php,valido,False,Capturado por latest.php
1768441500,2026-01-15 01:45:00,2026-01-14 22:45:00,Lascar,MODIS,0.89,1.0,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-15/01-45-00_Lascar_MODIS_Latest.png,2026-01-15 01:07:33,2026-01-15 07:00:26,NO,latest.php,valido,False,Capturado por latest.php
1768369681,2026-01-14 05:48:01,2026-01-14 02:48:01,Lascar,VIIRS,1.21,1.68,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-14/05-48-01_Lascar_VIIRS750_Latest.png,2026-01-14 18:14:26,2026-01-14 18:14:26,NO,latest.php,valido,False,Capturado por latest.php
1768284361,2026-01-13 06:06:01,2026-01-13 03:06:01,Lascar,VIIRS,0.32,1.5,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-13/06-06-01_Lascar_VIIRS750_Latest.png,2026-01-13 08:45:27,2026-01-13 18:30:24,NO,latest.php,valido,False,Capturado por latest.php
1768284361,2026-01-13 06:06:01,2026-01-13 03:06:01,Lascar,VIIRS375,0.52,1.55,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-13/06-06-01_Lascar_VIIRS375_Latest.png,2026-01-13 08:45:27,2026-01-13 18:30:24,NO,latest.php,valido,False,Capturado por latest.php
1768269600,2026-01-13 02:00:00,2026-01-12 23:00:00,Lascar,MODIS,0.63,1.0,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-13/02-00-00_Lascar_MODIS_Latest.png,2026-01-13 01:00:31,2026-01-13 16:30:30,NO,latest.php,valido,False,Capturado por latest.php
1768199041,2026-01-12 06:24:01,2026-01-12 03:24:01,Lascar,VIIRS375,0.62,5.0,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-12/06-24-01_Lascar_VIIRS375_Latest.png,2026-01-12 14:46:12,2026-01-12 17:15:28,NO,latest.php,valido,False,Capturado por latest.php
1768112640,2026-01-11 06:24:00,2026-01-11 03:24:00,Lascar,VIIRS375,0.04,1.19,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-11/06-24-00_Lascar_VIIRS375_VRP.png,,,NO,latest.php,valido,False,Capturado por latest.php
1768107601,2026-01-11 05:00:01,2026-01-11 02:00:01,Lascar,VIIRS,0.27,0.75,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-11/05-00-01_Lascar_VIIRS750_VRP.png,,,NO,latest.php,valido,False,Capturado por latest.php
1768107601,2026-01-11 05:00:01,2026-01-11 02:00:01,Lascar,VIIRS375,0.51,1.5,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-11/05-00-01_Lascar_VIIRS375_VRP.png,,,NO,latest.php,valido,False,Capturado por latest.php
