timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado
1768226100,2026-01-12 13:55:00,2026-01-12 10:55:00,Lastarria,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,2026-01-12 14:30:27,NO
1768203000,2026-01-12 07:30:00,2026-01-12 04:30:00,Lastarria,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,2026-01-12 11:47:10,NO
1768199041,2026-01-12 06:24:01,2026-01-12 03:24:01,Lastarria,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,2026-01-12 14:30:27,NO
1768199041,2026-01-12 06:24:01,2026-01-12 03:24:01,Lastarria,VIIRS375,0.87,5.03,EVIDENCIA_DIARIA,FALSO POSITIVO,imagenes_satelitales/Lastarria/2026-01-12/06-24-01_Lastarria_VIIRS375_Latest.png,,2026-01-12 14:30:27,NO
1768192921,2026-01-12 04:42:01,2026-01-12 01:42:01,Lastarria,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-12 05:35:34,2026-01-12 06:03:55,NO
1768192921,2026-01-12 04:42:01,2026-01-12 01:42:01,Lastarria,VIIRS375,0.0,0.0,EVIDENCIA_DIARIA,NULO,imagenes_satelitales/Lastarria/2026-01-12/04-42-01_Lastarria_VIIRS375_Latest.png,2026-01-12 05:35:34,2026-01-12 06:47:23,NO
1768181100,2026-01-12 01:25:00,2026-01-11 22:25:00,Lastarria,MODIS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-12 00:55:00,2026-01-12 06:47:23,NO
1768163700,2026-01-11 20:35:00,2026-01-11 17:35:00,Lastarria,MODIS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-11 22:57:40,2026-01-12 00:14:15,NO
1768158721,2026-01-11 19:12:01,2026-01-11 16:12:01,Lastarria,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-11 22:57:40,2026-01-12 04:49:27,NO
1768158721,2026-01-11 19:12:01,2026-01-11 16:12:01,Lastarria,VIIRS375,0.0,0.0,EVIDENCIA_DIARIA,NULO,imagenes_satelitales/Lastarria/2026-01-11/19-12-01_Lastarria_VIIRS375_Latest.png,2026-01-11 22:57:40,2026-01-12 04:49:27,NO
1768157280,2026-01-11 18:48:00,2026-01-11 15:48:00,Lastarria,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768152601,2026-01-11 17:30:01,2026-01-11 14:30:01,Lastarria,VIIRS375,0.0,0.0,EVIDENCIA_DIARIA,NULO,imagenes_satelitales/Lastarria/2026-01-11/17-30-01_Lastarria_VIIRS375_Latest.png,,,NO
1768152601,2026-01-11 17:30:01,2026-01-11 14:30:01,Lastarria,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768137300,2026-01-11 13:15:00,2026-01-11 10:15:00,Lastarria,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768112640,2026-01-11 06:24:00,2026-01-11 03:24:00,Lastarria,VIIRS375,0.15,1.55,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lastarria/2026-01-11/06-24-00_Lastarria_VIIRS375_VRP.png,,,NO
1768112640,2026-01-11 06:24:00,2026-01-11 03:24:00,Lastarria,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
