timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1769149441,2026-01-23 06:24:01,2026-01-23 03:24:01,Puyehue-Cordon Caulle,VIIRS375,0.67,7.83,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-23/06-24-01_Puyehue-Cordon Caulle_VIIRS375_Latest.png,2026-01-23 06:20:38,2026-01-23 10:00:44,NO,latest.php,valido,False,Capturado por latest.php
1769149441,2026-01-23 06:24:01,2026-01-23 03:24:01,Puyehue-Cordon Caulle,VIIRS,0.49,7.65,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-23/06-24-01_Puyehue-Cordon Caulle_VIIRS750_Latest.png,2026-01-23 06:20:38,2026-01-23 10:00:44,NO,latest.php,valido,False,Capturado por latest.php
1769148000,2026-01-23 06:00:00,2026-01-23 03:00:00,Puyehue-Cordon Caulle,VIIRS,1.34,7.83,ALERTA_TERMICA,Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-23/06-00-00_Puyehue-Cordon Caulle_VIIRS750_Latest.png,2026-01-23 05:50:46,2026-01-23 06:15:40,NO,latest.php,valido,False,Capturado por latest.php
1769148000,2026-01-23 06:00:00,2026-01-23 03:00:00,Puyehue-Cordon Caulle,VIIRS375,0.85,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-01-23/06-00-00_Puyehue_Cordon_Caulle_VIIRS375_VRP.png,2026-01-23 10:04:34,2026-01-23 10:04:34,NO,OCR,alta,False,Píxeles rojos dominantes en ROI - Evento real
1769143321,2026-01-23 04:42:01,2026-01-23 01:42:01,Puyehue-Cordon Caulle,VIIRS375,0.39,8.66,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-23/04-42-01_Puyehue-Cordon Caulle_VIIRS375_Latest.png,2026-01-23 04:50:41,2026-01-23 06:15:40,NO,latest.php,valido,False,Capturado por latest.php
1769062680,2026-01-22 06:18:00,2026-01-22 03:18:00,Puyehue-Cordon Caulle,VIIRS375,0.09,2.25,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-22/06-18-00_Puyehue-Cordon Caulle_VIIRS375_Latest.png,2026-01-22 07:05:40,2026-01-22 07:30:42,NO,latest.php,valido,False,Capturado por latest.php
1769058001,2026-01-22 05:00:01,2026-01-22 02:00:01,Puyehue-Cordon Caulle,VIIRS375,0.51,8.19,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-22/05-00-01_Puyehue-Cordon Caulle_VIIRS375_Latest.png,2026-01-22 05:05:39,2026-01-22 07:00:44,NO,latest.php,valido,False,Capturado por latest.php
1768977720,2026-01-21 06:42:00,2026-01-21 03:42:00,Puyehue-Cordon Caulle,VIIRS375,0.38,7.65,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-21/06-42-00_Puyehue-Cordon Caulle_VIIRS375_Latest.png,2026-01-21 09:20:39,2026-01-21 18:31:12,NO,latest.php,valido,False,Capturado por latest.php
1768972681,2026-01-21 05:18:01,2026-01-21 02:18:01,Puyehue-Cordon Caulle,VIIRS375,0.9,8.1,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-21/05-18-01_Puyehue-Cordon Caulle_VIIRS375_Latest.png,2026-01-21 06:35:50,2026-01-21 09:15:40,NO,latest.php,valido,False,Capturado por latest.php
1768972681,2026-01-21 05:18:01,2026-01-21 02:18:01,Puyehue-Cordon Caulle,VIIRS,0.46,7.65,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-21/05-18-01_Puyehue-Cordon Caulle_VIIRS750_Latest.png,2026-01-21 06:05:37,2026-01-21 07:45:38,NO,latest.php,valido,False,Capturado por latest.php
1768971600,2026-01-21 05:00:00,2026-01-21 02:00:00,Puyehue-Cordon Caulle,VIIRS375,0.32,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-01-21/05-00-00_Puyehue_Cordon_Caulle_VIIRS375_VRP.png,2026-01-22 01:05:56,2026-01-22 01:05:56,NO,OCR,alta,False,Píxeles rojos dominantes en ROI - Evento real
1768887361,2026-01-20 05:36:01,2026-01-20 02:36:01,Puyehue-Cordon Caulle,VIIRS,1.11,7.83,ALERTA_TERMICA,Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-20/05-36-01_Puyehue-Cordon Caulle_VIIRS750_Latest.png,2026-01-20 05:45:38,2026-01-20 07:15:39,NO,latest.php,valido,False,Capturado por latest.php
1768887361,2026-01-20 05:36:01,2026-01-20 02:36:01,Puyehue-Cordon Caulle,VIIRS375,0.98,8.1,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-20/05-36-01_Puyehue-Cordon Caulle_VIIRS375_Latest.png,2026-01-20 06:15:34,2026-01-20 08:30:41,NO,latest.php,valido,False,Capturado por latest.php
1768886280,2026-01-20 05:18:00,2026-01-20 02:18:00,Puyehue-Cordon Caulle,VIIRS375,0.74,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-01-20/05-18-00_Puyehue_Cordon_Caulle_VIIRS375_VRP_VERIFICAR.png,2026-01-21 16:49:25,2026-01-21 16:49:25,NO,OCR,alta,False,Píxeles rojos dominantes en ROI - Evento real
