Fecha_Detectada,Volcan,Sensor,Tipo_Imagen,Ruta_Foto,Fecha_Proceso
2026-01-11,Lascar,MSI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Lascar/HD_SENSORS/MSI/MSI_Latest_Composite.png,2026-01-11 01:15:21
2026-01-11,Lascar,OLI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Lascar/HD_SENSORS/OLI/OLI_Latest_Composite.png,2026-01-11 01:15:21
2026-01-11,Villarrica,MSI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Villarrica/HD_SENSORS/MSI/MSI_Latest_Composite.png,2026-01-11 01:15:21
2026-01-11,Villarrica,OLI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Villarrica/HD_SENSORS/OLI/OLI_Latest_Composite.png,2026-01-11 01:15:21
2026-01-11,Nevados de Chillan,MSI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Nevados de Chillan/HD_SENSORS/MSI/MSI_Latest_Composite.png,2026-01-11 01:15:21
2026-01-11,Nevados de Chillan,OLI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Nevados de Chillan/HD_SENSORS/OLI/OLI_Latest_Composite.png,2026-01-11 01:15:21
2026-01-11,Copahue,MSI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Copahue/HD_SENSORS/MSI/MSI_Latest_Composite.png,2026-01-11 01:15:21
2026-01-11,Copahue,OLI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Copahue/HD_SENSORS/OLI/OLI_Latest_Composite.png,2026-01-11 01:15:21
2026-01-11,Puyehue-Cordon Caulle,MSI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Puyehue-Cordon Caulle/HD_SENSORS/MSI/MSI_Latest_Composite.png,2026-01-11 01:15:21
2026-01-11,Puyehue-Cordon Caulle,OLI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Puyehue-Cordon Caulle/HD_SENSORS/OLI/OLI_Latest_Composite.png,2026-01-11 01:15:21
2026-01-11,Peteroa,MSI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Peteroa/HD_SENSORS/MSI/MSI_Latest_Composite.png,2026-01-11 01:15:21
2026-01-11,Peteroa,OLI,Last6_Composite,monitoreo_satelital/imagenes_satelitales/Peteroa/HD_SENSORS/OLI/OLI_Latest_Composite.png,2026-01-11 01:15:21
